X,Y,OBJECTID,District,Chief,Website1,Address,City,State,Zip,Captain,Email,Status,Phone,Paid_Employees,Volunteers,Station_Name,BRETSA_Name,BRETSA_Code,Equipment,Notes
-105.466022737811,39.8642768446506,59,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,14908 Highway 119,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 5,TIMBERLINE FIRE,,<null>,<null>
-105.008655201269,39.9866211356027,60,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,1750 W 160th Ave,Broomfield,CO,80023,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 66,NORTH METRO FIRE,,<null>,<null>
-105.357554227069,40.0169739475946,61,Sugarloaf Fire Protection District,Andrew Goldman,http://www.slfpd.org/,1360 Sugarloaf Rd,Boulder,CO,80302,,pio@slfpd.org,<null>,(303) 442-1050,,,Sugar Loaf Station 2,SUGAR LOAF FIRE,,<null>,District Office
-105.423883877441,40.2646641720213,62,Big Elk Meadows Volunteer Fire Department,Collin Isenhart,http://www.vfdofbigelk.org/,42 Willow Dr,Lyons,CO,80540,,chief@vfdofbigelk.org,<null>,(303) 823-5717,,,Big Elk Fire Station,BIG ELK FIRE,,<null>,<null>
-105.384974489274,39.9246413553621,63,Coal Creek Canyon Fire Protection District,Garret Ball,http://www.coalcreekcanyonfd.org/,32895 Highway 72,Golden,CO,80403,,general@coalcreekcanyonfd.org,<null>,(303) 642-7256,,,Coal Creek Canyon FPD Station 2,COAL CREEK FIRE,,<null>,<null>
-105.324892509467,40.0166997803768,64,Four Mile Fire Protection District,Bret Gibson,https://fourmilefire.org/,87 Fourmile Canyon Dr,Boulder,CO,80302,,fourmilefpd@gmail.com,<null>,(303) 449-3333,,,Four Mile Lodge Station,FOUR MILE FIRE - LODGE STATION,,<null>,<null>
-105.299474211768,40.1314651705424,65,Lefthand Fire Protection District,Russell Leadingham,http://www.lefthandfire.org/,900 Lefthand Canyon Dr,Boulder,CO,80302,,info@lefthandfire.org,<null>,(720) 214-0560,,,Lefthand Fire Station 1,LEFTHAND FIRE,,<null>,<null>
-105.245625169539,39.980968834971,66,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,4100 Darley Ave,Boulder,CO,80303,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3364,,,City of Boulder Station 4,BOULDER FIRE,,<null>,<null>
-105.335825040216,40.0702904348978,67,Boulder Mountain Fire Protection District,John Benson,https://www.bmfpd.org/,3128 Carriage Hills Dr,Boulder,CO,80302,,chief@bouldermountainfire.org,<null>,(303) 440-0235,,,BMFPD Station 3,BOULDER MOUNTAIN FIRE,,<null>,<null>
-105.443819029453,40.1224926804666,68,Lefthand Fire Protection District,Russell Leadingham,http://www.lefthandfire.org/,7761 Overland Dr,Ward,CO,80481,,info@lefthandfire.org,<null>,(720) 214-0561,,,Lefthand Fire Station 2,LEFTHAND FIRE,,<null>,<null>
-105.349979186358,40.0942642210247,69,Lefthand Fire Protection District,Russell Leadingham,http://www.lefthandfire.org/,5928 Lefthand Canyon Dr,Jamestown,CO,80455,,info@lefthandfire.org,<null>,(720) 214-0562,,,Lefthand Fire Station 3,LEFTHAND FIRE,,<null>,<null>
-105.172776981497,39.9997437112358,70,Rocky Mountain Fire District,Mike Tombolato,https://rockyfire.org/,7700 Baseline Rd,Boulder,CO,80303,,contactus@rockyfire.org,<null>,(303) 494-3735,,,Rocky Mountain Station 1,ROCKY MOUNTAIN FIRE,,<null>,<null>
-105.477864556197,39.847438705032,71,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,146 N Dory Lakes Dr,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 6,TIMBERLINE FIRE,,<null>,<null>
-105.152627546305,40.1516757032977,72,City of Longmont Fire Department,Jerrod Vanlandingham,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department/divisions/fire-services-division,617 Barberry Dr,Longmont,CO,80503,,jerrod.vanlandingham@longmontcolorado.go,<null>,(303) 651-8426,,,Longmont Fire Station 5,LONGMONT FIRE,,<null>,<null>
-105.127616899185,39.949887457997,73,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,13975 S 96th St,Broomfield,CO,80020,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 67,NORTH METRO FIRE,,<null>,<null>
-105.277650693187,39.8731757958072,74,Coal Creek Canyon Fire Protection District,Garret Ball,http://www.coalcreekcanyonfd.org/,9775 Blue Mountain Dr,Golden,CO,80403,,general@coalcreekcanyonfd.org,<null>,(303) 642-0779,,,Coal Creek Canyon FPD Station 3,COAL CREEK FIRE,,<null>,<null>
-104.951675840611,40.0136970835603,75,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,1006 WCR 11,Brighton,CO,80603,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Training Center,NORTH METRO FIRE,,<null>,<null>
-105.438816974531,39.8029904395555,76,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,2236 Smith Hill Rd,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 9,TIMBERLINE FIRE,,<null>,<null>
-105.108702729425,39.9138702637143,77,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,9900 W 120th Ave,Broomfield,CO,80021,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 65,NORTH METRO FIRE,,<null>,<null>
-105.259368060097,40.1039363410093,78,Boulder Rural Fire Protection District,Greg Schwab,http://brfd.org/,7100 Fairways Dr,Longmont,CO,80503,,greg.schwab@brfr.org,<null>,(303) 530-9575,,,Boulder Rural Station 2,BOULDER RURAL FIRE,,<null>,<null>
-105.468355839284,40.1062027004325,79,Indian Peaks Fire Protection District,Norman Bowers, ,CR 100-60,Ward,CO,80481,,normbowers61@yahoo.com,<null>,(303) 459-3452,,,Indian Peaks Station 2,INDIAN PEAKS FIRE,,<null>,<null>
-105.481443895487,39.8398793167672,80,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,660 Highway 46,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 7,TIMBERLINE FIRE,,<null>,District Headquarters
-105.03650063847,40.0065484012437,81,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,400 WCR 3,Erie,CO,80516,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 8,MOUNTAIN VIEW FIRE,,<null>,<null>
-105.018423962011,40.1598586398587,82,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,10939 WCR 5,Longmont,CO,80504,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 1,MOUNTAIN VIEW FIRE,,<null>,<null>
-104.945346047147,40.0733228712881,83,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,161 Perry Ln,Dacono,CO,80514,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 7,MOUNTAIN VIEW FIRE,,<null>,<null>
-105.083415229107,39.9720089527449,84,City of Lafayette Fire Department,Dave Friedel,https://www.cityoflafayette.com/94/Fire,511 Exempla Cir,Lafayette,CO,80026,, ,<null>,(303) 665-9661,,,Lafayette Fire Department Station 2,LAFAYETTE FIRE,,<null>,<null>
-105.110226319616,39.9631626636881,85,Louisville Fire Protection District,John Willson,http://www.louisvillefire.com/,2095 Boxelder St,Louisville,CO,80027,,info@louisvillefire.com,<null>,(303) 666-6595,,,Louisville Station 3,LOUISVILLE FIRE,,<null>,<null>
-105.468479747251,40.1726966531043,86,Allenspark Fire Protection District,Leo Touzjian,http://www.allensparkfire.com/,32 Bunce School Rd,Allenspark,CO,80510,,info@allensparkfire.com,<null>,(303) 747-2586,,,Allenspark Station 5,ALLENSPARK FIRE,,<null>,<null>
-105.214980406471,40.0705075974007,87,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,6075 Reservoir Rd,Boulder,CO,80301,,calderazzom@bouldercolorado.gov,<null>,(303) 441-4178,,,City of Boulder Station 8,BOULDER FIRE,,<null>,<null>
-105.507706059407,39.9183019988346,88,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,135 Tolland Rd,Rollinsville,CO,80474,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 3,TIMBERLINE FIRE,,<null>,<null>
-105.408686534276,39.8209097759844,89,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,4611 Smith Hill Rd,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 8,TIMBERLINE FIRE,,<null>,<null>
-105.523936914355,39.8236985699253,90,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,495 Apex Rd,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 10,TIMBERLINE FIRE,,<null>,<null>
-105.364557011173,40.0592671942712,91,Sunshine Fire Protection District,Michael Schmitt,http://www.sunshine-fpd.org/,5880 Sunshine Canyon Dr,Boulder,CO,80302,, ,<null>,(303) 786-7731,,,Sunshine Station 2,SUNSHINE FIRE,,<null>,<null>
-105.340620032869,40.0315479692332,92,Four Mile Fire Protection District,Bret Gibson,https://fourmilefire.org/,1740 Fourmile Canyon Dr,Boulder,CO,80302,,fourmilefpd@gmail.com,<null>,(303) 449-3333,,,Four Mile Poorman Station,FOURMILE FIRE DEPARTMENT,,<null>, 
